sample	GT	CE	GH	CBM	PL	Others	AA
J2	0.203671776764952	0.0480323483528344	0.666131870819022	0.0674717759960434	0.012615252368909	0.000386091160759587	0.00169088453747475
J3	0.268715614384864	0.0480314747403172	0.594477190510116	0.0720107550824893	0.0113382162182996	0.000430192343824525	0.0049965567200942
J4	0.267056729145893	0.0421225072427163	0.603825371640467	0.0688564050968435	0.013346419322051	0.000289367731857266	0.00450319982018156
J5	0.256051959485014	0.0468762506285507	0.609008573675467	0.0719974275663484	0.0120033310896764	0.000424244818829694	0.00363821273612446
J6	0.216967376200283	0.0519859784569862	0.64475502145874	0.0709318933948333	0.0125832077670019	0.000532185375032486	0.00224433734712362
J7	0.273187302130947	0.0473736687581996	0.589372698006285	0.0732400250019832	0.0106076504835396	0.000490374238447701	0.00572828138059826
J8	0.202005199938878	0.0468813912914068	0.660076386755538	0.0676559656846118	0.0190865183208874	0.000528000647427767	0.0037665373612497
J9	0.235337148481373	0.0458279674292557	0.63427538703038	0.0707065790097312	0.0116902673069353	0.000319357437283767	0.00184329330503381
S1	0.260188362532655	0.0526939652384355	0.60897242734308	0.0694351011002201	0.00825479191488903	0.000302544612406696	0.000152807258321002
S2	0.245475659676509	0.051839838857023	0.620855882636789	0.0702028026270246	0.0111099685262141	0.000408399007953798	0.000107448668477281
S3	0.234037898411959	0.0482848339358295	0.628538002992346	0.0777388269018068	0.0109147637281104	0.000330909889619701	0.000154764140341789
W13	0.221676694953921	0.0469908365700781	0.652698226605734	0.0689940180511411	0.00920576809090277	0.000300366972810908	0.000134088755416993
W16	0.272985270433843	0.0453775435503095	0.601492965639805	0.0697177023246445	0.00955395503878361	0.000276879332120282	0.000595683680488898
W10	0.246809506968009	0.0521334360459535	0.615229207299403	0.076025645786486	0.00903820687948124	0.000426121900769991	0.000337875119894442
W11	0.281428816224396	0.0471100852709375	0.583590137812667	0.0763722350819617	0.00825983759213476	0.000792988411827693	0.00244589960608208
W12	0.285495669680812	0.0467149128454087	0.576635211471816	0.0798212712468492	0.00785667350378264	0.00120426349171011	0.00227199775962183
W14	0.267167547718434	0.0435633868536149	0.607437492481346	0.072287317634197	0.0090734328431431	0.000303813830610376	0.000167008638653249
W15	0.250128019790059	0.0461465509045102	0.622579154210583	0.0713817042224834	0.00928837594904082	0.000295133880387728	0.000181061042932901
W1	0.288200113952916	0.0464076393520742	0.585838531676249	0.0711601217131081	0.00799889422354473	0.000245743731276934	0.000148955350831674
W2	0.263538732050583	0.0428310582822058	0.613212356219574	0.0718367536920227	0.0080559485487827	0.000245414365109866	0.000279736841716914
W3	0.264338393089344	0.046533055782706	0.608591659724133	0.0706729227259375	0.00913008413392108	0.000337716344792073	0.000396168199157184
W4	0.258134122065629	0.0420140817795451	0.627800200142781	0.0640757409741051	0.00763207928575538	0.000177949897971172	0.000165825854201042
W5	0.253290236770546	0.0489983306369019	0.609624772495063	0.0764721206339921	0.0103466959134027	0.000397438273315816	0.000870405276772338
W6	0.26332863226234	0.0435469925045826	0.617740549534456	0.0660875995525424	0.00886233167287775	0.000278285643022463	0.000155608830184699
W7	0.255156924853406	0.0512040439762377	0.612535058032518	0.0705545639932983	0.00869583497206781	0.000475972705114852	0.00137760146736032
W8	0.239442345956739	0.0431934514879844	0.641770436459691	0.0663652013752907	0.00880016152425211	0.000267608325872371	0.000160794870163864
W9	0.24070987322101	0.050124072259199	0.625074724916249	0.0729689543080946	0.00998220349122424	0.000538624387315338	0.000601547416906727
